selector,n_runs,mse_raw_mean,mse_raw_sd,mae_raw_mean,mae_raw_sd,rmse_raw_mean,rmse_raw_sd
gcm,3,181.8584442138672,17.610243635546823,10.073038736979166,0.3602202397166891,13.475007311861798,0.6511015579058375
correlation,3,1149.5026550292969,1705.6523121360888,10.022636731465658,0.7859729447589198,27.172404118470343,24.83434444831893
mutual_information,3,293108.4366200765,507379.38683253573,48.49147605895996,66.77557688540676,321.26855820792866,533.7063098658408
random_00,3,68357.69397481282,109812.08929653605,13.958046277364096,4.948752826850763,184.854749442589,226.45004609183832
random_01,3,70316.96074930827,121490.04245533061,27.249842007954914,29.839803195937954,161.78113859912665,257.3241844722677
random_pooled,6,69337.32736206055,103578.77082913983,20.603944142659504,20.46858944452584,173.31794402085782,217.15860832795002
